run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,19.98333333333333,5483.0,,5483,5483,107447.0,,107447,107447,24105.091743119265,,24105.091743119265,24105.091743119265,23502.0,,23502.0,23502.0,38207.79999999999,,38207.79999999999,38207.79999999999,50126.99999999999,,50126.99999999999,50126.99999999999,8468.148763917063,,8468.148763917063,8468.148763917063,19.98333333333333,,19.98333333333333,19.98333333333333,1199.0,,1199,1199
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,98.88333333333334,3951.0,,3951,3951,605540.0,,605540,605540,27760.08494859262,,27760.08494859262,27760.08494859262,22402.0,,22402.0,22402.0,57665.8,,57665.8,57665.8,155171.88000000053,,155171.88000000053,155171.88000000053,39518.97531471467,,39518.97531471467,39518.97531471467,98.88333333333334,,98.88333333333334,98.88333333333334,5933.0,,5933,5933
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,99.03333333333332,3981.0,,3981,3981,197163.0,,197163,197163,21853.72467182767,,21853.72467182767,21853.72467182767,17729.5,,17729.5,17729.5,51988.19999999997,,51988.19999999997,51988.19999999997,73732.92000000006,,73732.92000000006,73732.92000000006,16878.21097492753,,16878.21097492753,16878.21097492753,99.03333333333332,,99.03333333333332,99.03333333333332,5942.0,,5942,5942
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,121.56666666666666,4282.0,,4282,4282,462233.0,,462233,462233,36151.61708253359,,36151.61708253359,36151.61708253359,30440.5,,30440.5,30440.5,79280.44999999997,,79280.44999999997,79280.44999999997,141119.54999999967,,141119.54999999967,141119.54999999967,31506.43676279944,,31506.43676279944,31506.43676279944,121.56666666666666,,121.56666666666666,121.56666666666666,7294.0,,7294,7294
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,122.18333333333334,3845.0,,3845,3845,299205.0,,299205,299205,29108.28986495703,,29108.28986495703,29108.28986495703,24554.0,,24554.0,24554.0,69300.5,,69300.5,69300.5,110166.0999999999,,110166.0999999999,110166.0999999999,23546.90292747207,,23546.90292747207,23546.90292747207,122.18333333333334,,122.18333333333334,122.18333333333334,7331.0,,7331,7331
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,122.3,4071.0,,4071,4071,292442.0,,292442,292442,33136.67729626601,,33136.67729626601,33136.67729626601,28865.0,,28865.0,28865.0,74481.45,,74481.45,74481.45,118892.03,,118892.03,118892.03,24608.15148674704,,24608.15148674704,24608.15148674704,122.3,,122.3,122.3,7338.0,,7338,7338
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,139.18333333333334,3890.0,,3890,3890,224632.0,,224632,224632,33565.5337085379,,33565.5337085379,33565.5337085379,29016.0,,29016.0,29016.0,78254.5,,78254.5,78254.5,119190.5,,119190.5,119190.5,24384.50257038492,,24384.50257038492,24384.50257038492,139.18333333333334,,139.18333333333334,139.18333333333334,8351.0,,8351,8351
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,139.45,3851.0,,3851,3851,371790.0,,371790,371790,34896.270108760604,,34896.270108760604,34896.270108760604,27887.0,,27887.0,27887.0,84067.4,,84067.4,84067.4,181767.60000000012,,181767.60000000012,181767.60000000012,32820.25478373115,,32820.25478373115,32820.25478373115,139.45,,139.45,139.45,8367.0,,8367,8367
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,139.58333333333334,3714.0,,3714,3714,440294.0,,440294,440294,36376.719641791045,,36376.719641791045,36376.719641791045,29132.0,,29132.0,29132.0,89518.79999999987,,89518.79999999987,89518.79999999987,191885.88000000015,,191885.88000000015,191885.88000000015,36057.64587747513,,36057.64587747513,36057.64587747513,139.58333333333334,,139.58333333333334,139.58333333333334,8375.0,,8375,8375
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,158.4,3450.0,,3450,3450,371485.0,,371485,371485,45966.30366161616,,45966.30366161616,45966.30366161616,38333.0,,38333.0,38333.0,110149.5,,110149.5,110149.5,192806.65999999997,,192806.65999999997,192806.65999999997,36850.17904431436,,36850.17904431436,36850.17904431436,158.4,,158.4,158.4,9504.0,,9504,9504
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,160.43333333333334,3957.0,,3957,3957,440168.0,,440168,440168,44169.523893621445,,44169.523893621445,44169.523893621445,36230.0,,36230.0,36230.0,103964.75,,103964.75,103964.75,214999.75,,214999.75,214999.75,38233.82832213004,,38233.82832213004,38233.82832213004,160.43333333333334,,160.43333333333334,160.43333333333334,9626.0,,9626,9626
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,160.88333333333333,3995.0,,3995,3995,295882.0,,295882,295882,44202.42846783384,,44202.42846783384,44202.42846783384,38621.0,,38621.0,38621.0,99945.8,,99945.8,99945.8,149891.83999999985,,149891.83999999985,149891.83999999985,30444.47737815092,,30444.47737815092,30444.47737815092,160.88333333333333,,160.88333333333333,160.88333333333333,9653.0,,9653,9653
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,187.11666666666667,4482.0,,4482,4482,328382.0,,328382,328382,55494.78231050147,,55494.78231050147,55494.78231050147,49033.0,,49033.0,49033.0,119128.5,,119128.5,119128.5,176114.03999999986,,176114.03999999986,176114.03999999986,34763.361187808274,,34763.361187808274,34763.361187808274,187.11666666666667,,187.11666666666667,187.11666666666667,11227.0,,11227,11227
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,187.2,4007.0,,4007,4007,499341.0,,499341,499341,55779.48548789174,,55779.48548789174,55779.48548789174,47855.0,,47855.0,47855.0,124428.54999999992,,124428.54999999992,124428.54999999992,221242.61000000004,,221242.61000000004,221242.61000000004,41964.08551638064,,41964.08551638064,41964.08551638064,187.2,,187.2,187.2,11232.0,,11232,11232
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,187.21666666666667,3404.0,,3404,3404,584212.0,,584212,584212,64364.07531380753,,64364.07531380753,64364.07531380753,53042.0,,53042.0,53042.0,153848.39999999988,,153848.39999999988,153848.39999999988,298848.36000000034,,298848.36000000034,298848.36000000034,54753.20842431237,,54753.20842431237,54753.20842431237,187.21666666666667,,187.21666666666667,187.21666666666667,11233.0,,11233,11233
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,188.21666666666667,3856.0,,3856,3856,311713.0,,311713,311713,56098.37598512353,,56098.37598512353,56098.37598512353,49905.0,,49905.0,49905.0,120506.0,,120506.0,120506.0,174823.12,,174823.12,174823.12,36144.87759960324,,36144.87759960324,36144.87759960324,188.21666666666667,,188.21666666666667,188.21666666666667,11293.0,,11293,11293
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,188.2333333333333,3988.0,,3988,3988,457279.0,,457279,457279,57015.21321055428,,57015.21321055428,57015.21321055428,49121.5,,49121.5,49121.5,125343.30000000008,,125343.30000000008,125343.30000000008,210450.3899999997,,210450.3899999997,210450.3899999997,42250.68733587081,,42250.68733587081,42250.68733587081,188.2333333333333,,188.2333333333333,188.2333333333333,11294.0,,11294,11294
