2025-09-05T13:22:45+01:00  13:22:45 up 19 days, 8 min,  1 user,  load average: 2.13, 1.80, 4.28
2025-09-05T13:22:50+01:00  13:22:50 up 19 days, 8 min,  1 user,  load average: 2.44, 1.87, 4.29
2025-09-05T13:22:55+01:00  13:22:55 up 19 days, 8 min,  1 user,  load average: 2.25, 1.84, 4.27
2025-09-05T13:23:00+01:00  13:23:00 up 19 days, 8 min,  1 user,  load average: 2.07, 1.81, 4.25
2025-09-05T13:23:05+01:00  13:23:05 up 19 days, 8 min,  1 user,  load average: 2.22, 1.84, 4.24
2025-09-05T13:23:10+01:00  13:23:10 up 19 days, 8 min,  1 user,  load average: 2.45, 1.90, 4.25
2025-09-05T13:23:15+01:00  13:23:15 up 19 days, 8 min,  1 user,  load average: 2.25, 1.87, 4.23
2025-09-05T13:23:20+01:00  13:23:20 up 19 days, 8 min,  1 user,  load average: 2.07, 1.83, 4.20
2025-09-05T13:23:25+01:00  13:23:25 up 19 days, 9 min,  1 user,  load average: 2.22, 1.87, 4.20
2025-09-05T13:23:30+01:00  13:23:30 up 19 days, 9 min,  1 user,  load average: 3.09, 2.06, 4.25
2025-09-05T13:23:35+01:00  13:23:35 up 19 days, 9 min,  1 user,  load average: 2.92, 2.04, 4.23
2025-09-05T13:23:40+01:00  13:23:40 up 19 days, 9 min,  1 user,  load average: 2.77, 2.02, 4.21
2025-09-05T13:23:45+01:00  13:23:45 up 19 days, 9 min,  1 user,  load average: 2.70, 2.02, 4.20
2025-09-05T13:23:50+01:00  13:23:50 up 19 days, 9 min,  1 user,  load average: 2.49, 1.99, 4.18
2025-09-05T13:23:55+01:00  13:23:55 up 19 days, 9 min,  1 user,  load average: 2.29, 1.95, 4.16
2025-09-05T13:24:00+01:00  13:24:00 up 19 days, 9 min,  1 user,  load average: 2.10, 1.92, 4.13
2025-09-05T13:24:05+01:00  13:24:05 up 19 days, 9 min,  1 user,  load average: 2.18, 1.94, 4.13
2025-09-05T13:24:10+01:00  13:24:10 up 19 days, 9 min,  1 user,  load average: 2.24, 1.96, 4.12
2025-09-05T13:24:15+01:00  13:24:15 up 19 days, 9 min,  1 user,  load average: 2.06, 1.92, 4.10
2025-09-05T13:24:20+01:00  13:24:20 up 19 days, 9 min,  1 user,  load average: 2.06, 1.92, 4.09
2025-09-05T13:24:25+01:00  13:24:25 up 19 days, 10 min,  1 user,  load average: 2.05, 1.93, 4.08
2025-09-05T13:24:30+01:00  13:24:30 up 19 days, 10 min,  1 user,  load average: 2.05, 1.93, 4.06
2025-09-05T13:24:35+01:00  13:24:35 up 19 days, 10 min,  1 user,  load average: 1.88, 1.90, 4.04
2025-09-05T13:24:40+01:00  13:24:40 up 19 days, 10 min,  1 user,  load average: 1.89, 1.90, 4.03
2025-09-05T13:24:45+01:00  13:24:45 up 19 days, 10 min,  1 user,  load average: 2.14, 1.95, 4.04
2025-09-05T13:24:50+01:00  13:24:50 up 19 days, 10 min,  1 user,  load average: 2.13, 1.95, 4.02
2025-09-05T13:24:56+01:00  13:24:55 up 19 days, 10 min,  1 user,  load average: 2.44, 2.02, 4.04
2025-09-05T13:25:01+01:00  13:25:01 up 19 days, 10 min,  1 user,  load average: 2.41, 2.02, 4.02
2025-09-05T13:25:06+01:00  13:25:06 up 19 days, 10 min,  1 user,  load average: 2.29, 2.00, 4.01
2025-09-05T13:25:11+01:00  13:25:11 up 19 days, 10 min,  1 user,  load average: 2.11, 1.97, 3.99
2025-09-05T13:25:16+01:00  13:25:16 up 19 days, 10 min,  1 user,  load average: 2.42, 2.03, 4.00
2025-09-05T13:25:21+01:00  13:25:21 up 19 days, 10 min,  1 user,  load average: 2.47, 2.05, 3.99
2025-09-05T13:25:26+01:00  13:25:26 up 19 days, 11 min,  1 user,  load average: 2.51, 2.07, 3.99
2025-09-05T13:25:31+01:00  13:25:31 up 19 days, 11 min,  1 user,  load average: 2.39, 2.05, 3.97
2025-09-05T13:25:36+01:00  13:25:36 up 19 days, 11 min,  1 user,  load average: 2.68, 2.11, 3.98
2025-09-05T13:25:41+01:00  13:25:41 up 19 days, 11 min,  1 user,  load average: 2.62, 2.11, 3.97
2025-09-05T13:25:46+01:00  13:25:46 up 19 days, 11 min,  1 user,  load average: 2.49, 2.09, 3.95
2025-09-05T13:25:51+01:00  13:25:51 up 19 days, 11 min,  1 user,  load average: 2.37, 2.08, 3.94
2025-09-05T13:25:56+01:00  13:25:56 up 19 days, 11 min,  1 user,  load average: 2.26, 2.06, 3.92
2025-09-05T13:26:01+01:00  13:26:01 up 19 days, 11 min,  1 user,  load average: 2.48, 2.11, 3.93
2025-09-05T13:26:06+01:00  13:26:06 up 19 days, 11 min,  1 user,  load average: 2.44, 2.10, 3.92
2025-09-05T13:26:11+01:00  13:26:11 up 19 days, 11 min,  1 user,  load average: 2.41, 2.10, 3.91
2025-09-05T13:26:16+01:00  13:26:16 up 19 days, 11 min,  1 user,  load average: 2.46, 2.12, 3.90
2025-09-05T13:26:21+01:00  13:26:21 up 19 days, 11 min,  1 user,  load average: 2.26, 2.08, 3.88
2025-09-05T13:26:26+01:00  13:26:26 up 19 days, 12 min,  1 user,  load average: 2.24, 2.08, 3.87
2025-09-05T13:26:31+01:00  13:26:31 up 19 days, 12 min,  1 user,  load average: 2.14, 2.06, 3.85
2025-09-05T13:26:36+01:00  13:26:36 up 19 days, 12 min,  1 user,  load average: 2.21, 2.08, 3.85
2025-09-05T13:26:41+01:00  13:26:41 up 19 days, 12 min,  1 user,  load average: 2.27, 2.09, 3.85
2025-09-05T13:26:46+01:00  13:26:46 up 19 days, 12 min,  1 user,  load average: 2.17, 2.08, 3.83
2025-09-05T13:26:51+01:00  13:26:51 up 19 days, 12 min,  1 user,  load average: 2.32, 2.11, 3.83
2025-09-05T13:26:56+01:00  13:26:56 up 19 days, 12 min,  1 user,  load average: 2.21, 2.09, 3.81
2025-09-05T13:27:01+01:00  13:27:01 up 19 days, 12 min,  1 user,  load average: 2.43, 2.14, 3.82
2025-09-05T13:27:06+01:00  13:27:06 up 19 days, 12 min,  1 user,  load average: 2.24, 2.10, 3.80
2025-09-05T13:27:11+01:00  13:27:11 up 19 days, 12 min,  1 user,  load average: 2.22, 2.10, 3.79
2025-09-05T13:27:16+01:00  13:27:16 up 19 days, 12 min,  1 user,  load average: 2.84, 2.23, 3.82
2025-09-05T13:27:21+01:00  13:27:21 up 19 days, 12 min,  1 user,  load average: 2.77, 2.23, 3.81
2025-09-05T13:27:26+01:00  13:27:26 up 19 days, 13 min,  1 user,  load average: 2.79, 2.24, 3.81
2025-09-05T13:27:31+01:00  13:27:31 up 19 days, 13 min,  1 user,  load average: 3.37, 2.37, 3.84
2025-09-05T13:27:36+01:00  13:27:36 up 19 days, 13 min,  1 user,  load average: 3.26, 2.36, 3.83
2025-09-05T13:27:41+01:00  13:27:41 up 19 days, 13 min,  1 user,  load average: 3.00, 2.32, 3.81
2025-09-05T13:27:46+01:00  13:27:46 up 19 days, 13 min,  1 user,  load average: 3.56, 2.45, 3.85
2025-09-05T13:27:51+01:00  13:27:51 up 19 days, 13 min,  1 user,  load average: 3.52, 2.46, 3.84
2025-09-05T13:27:56+01:00  13:27:56 up 19 days, 13 min,  1 user,  load average: 3.79, 2.54, 3.86
2025-09-05T13:28:01+01:00  13:28:01 up 19 days, 13 min,  1 user,  load average: 4.13, 2.63, 3.88
2025-09-05T13:28:06+01:00  13:28:06 up 19 days, 13 min,  1 user,  load average: 3.80, 2.58, 3.86
2025-09-05T13:28:11+01:00  13:28:11 up 19 days, 13 min,  1 user,  load average: 3.74, 2.59, 3.85
2025-09-05T13:28:16+01:00  13:28:16 up 19 days, 13 min,  1 user,  load average: 4.16, 2.70, 3.88
2025-09-05T13:28:21+01:00  13:28:21 up 19 days, 13 min,  1 user,  load average: 3.82, 2.65, 3.86
2025-09-05T13:28:26+01:00  13:28:26 up 19 days, 14 min,  1 user,  load average: 3.52, 2.61, 3.84
2025-09-05T13:28:31+01:00  13:28:31 up 19 days, 14 min,  1 user,  load average: 3.80, 2.68, 3.86
2025-09-05T13:28:36+01:00  13:28:36 up 19 days, 14 min,  1 user,  load average: 3.49, 2.64, 3.84
2025-09-05T13:28:41+01:00  13:28:41 up 19 days, 14 min,  1 user,  load average: 3.53, 2.66, 3.84
2025-09-05T13:28:46+01:00  13:28:46 up 19 days, 14 min,  1 user,  load average: 3.73, 2.71, 3.85
2025-09-05T13:28:51+01:00  13:28:51 up 19 days, 14 min,  1 user,  load average: 3.67, 2.72, 3.84
2025-09-05T13:28:56+01:00  13:28:56 up 19 days, 14 min,  1 user,  load average: 3.62, 2.72, 3.84
2025-09-05T13:29:01+01:00  13:29:01 up 19 days, 14 min,  1 user,  load average: 3.57, 2.73, 3.83
2025-09-05T13:29:06+01:00  13:29:06 up 19 days, 14 min,  1 user,  load average: 3.44, 2.72, 3.82
2025-09-05T13:29:11+01:00  13:29:11 up 19 days, 14 min,  1 user,  load average: 3.41, 2.72, 3.82
2025-09-05T13:29:16+01:00  13:29:16 up 19 days, 14 min,  1 user,  load average: 3.37, 2.73, 3.81
2025-09-05T13:29:21+01:00  13:29:21 up 19 days, 14 min,  1 user,  load average: 3.58, 2.78, 3.83
2025-09-05T13:29:26+01:00  13:29:26 up 19 days, 15 min,  1 user,  load average: 3.46, 2.77, 3.82
2025-09-05T13:29:31+01:00  13:29:31 up 19 days, 15 min,  1 user,  load average: 4.30, 2.95, 3.87
2025-09-05T13:29:36+01:00  13:29:36 up 19 days, 15 min,  1 user,  load average: 3.96, 2.91, 3.85
2025-09-05T13:29:41+01:00  13:29:41 up 19 days, 15 min,  1 user,  load average: 4.28, 2.99, 3.87
2025-09-05T13:29:46+01:00  13:29:46 up 19 days, 15 min,  1 user,  load average: 4.82, 3.12, 3.91
2025-09-05T13:29:51+01:00  13:29:51 up 19 days, 15 min,  1 user,  load average: 5.15, 3.22, 3.94
2025-09-05T13:29:56+01:00  13:29:56 up 19 days, 15 min,  1 user,  load average: 4.82, 3.18, 3.92
2025-09-05T13:30:01+01:00  13:30:01 up 19 days, 15 min,  1 user,  load average: 4.43, 3.13, 3.90
2025-09-05T13:30:06+01:00  13:30:06 up 19 days, 15 min,  1 user,  load average: 4.24, 3.11, 3.89
2025-09-05T13:30:11+01:00  13:30:11 up 19 days, 15 min,  1 user,  load average: 4.06, 3.09, 3.88
2025-09-05T13:30:16+01:00  13:30:16 up 19 days, 15 min,  1 user,  load average: 4.06, 3.11, 3.88
2025-09-05T13:30:21+01:00  13:30:21 up 19 days, 15 min,  1 user,  load average: 3.97, 3.11, 3.88
2025-09-05T13:30:26+01:00  13:30:26 up 19 days, 16 min,  1 user,  load average: 3.65, 3.05, 3.86
2025-09-05T13:30:31+01:00  13:30:31 up 19 days, 16 min,  1 user,  load average: 3.36, 3.00, 3.84
2025-09-05T13:30:36+01:00  13:30:36 up 19 days, 16 min,  1 user,  load average: 3.09, 2.95, 3.81
2025-09-05T13:30:41+01:00  13:30:41 up 19 days, 16 min,  1 user,  load average: 2.84, 2.90, 3.79
2025-09-05T13:30:46+01:00  13:30:46 up 19 days, 16 min,  1 user,  load average: 3.18, 2.97, 3.81
2025-09-05T13:30:51+01:00  13:30:51 up 19 days, 16 min,  1 user,  load average: 3.16, 2.97, 3.81
2025-09-05T13:30:56+01:00  13:30:56 up 19 days, 16 min,  1 user,  load average: 3.55, 3.06, 3.83
2025-09-05T13:31:01+01:00  13:31:01 up 19 days, 16 min,  1 user,  load average: 3.26, 3.01, 3.81
2025-09-05T13:31:06+01:00  13:31:06 up 19 days, 16 min,  1 user,  load average: 3.24, 3.01, 3.80
2025-09-05T13:31:11+01:00  13:31:11 up 19 days, 16 min,  1 user,  load average: 2.98, 2.95, 3.78
2025-09-05T13:31:16+01:00  13:31:16 up 19 days, 16 min,  1 user,  load average: 3.87, 3.14, 3.84
2025-09-05T13:31:21+01:00  13:31:21 up 19 days, 16 min,  1 user,  load average: 3.96, 3.17, 3.85
2025-09-05T13:31:26+01:00  13:31:26 up 19 days, 17 min,  1 user,  load average: 4.28, 3.25, 3.87
2025-09-05T13:31:31+01:00  13:31:31 up 19 days, 17 min,  1 user,  load average: 4.02, 3.21, 3.85
2025-09-05T13:31:36+01:00  13:31:36 up 19 days, 17 min,  1 user,  load average: 4.10, 3.24, 3.86
2025-09-05T13:31:41+01:00  13:31:41 up 19 days, 17 min,  1 user,  load average: 3.93, 3.22, 3.85
2025-09-05T13:31:46+01:00  13:31:46 up 19 days, 17 min,  1 user,  load average: 4.34, 3.32, 3.88
2025-09-05T13:31:51+01:00  13:31:51 up 19 days, 17 min,  1 user,  load average: 4.07, 3.28, 3.86
2025-09-05T13:31:56+01:00  13:31:56 up 19 days, 17 min,  1 user,  load average: 3.90, 3.26, 3.85
2025-09-05T13:32:01+01:00  13:32:01 up 19 days, 17 min,  1 user,  load average: 4.63, 3.42, 3.90
2025-09-05T13:32:06+01:00  13:32:06 up 19 days, 17 min,  1 user,  load average: 5.06, 3.53, 3.93
2025-09-05T13:32:11+01:00  13:32:11 up 19 days, 17 min,  1 user,  load average: 4.66, 3.47, 3.91
2025-09-05T13:32:16+01:00  13:32:16 up 19 days, 17 min,  1 user,  load average: 4.60, 3.48, 3.91
2025-09-05T13:32:21+01:00  13:32:21 up 19 days, 17 min,  1 user,  load average: 4.63, 3.50, 3.92
2025-09-05T13:32:26+01:00  13:32:26 up 19 days, 18 min,  1 user,  load average: 5.46, 3.70, 3.98
2025-09-05T13:32:31+01:00  13:32:31 up 19 days, 18 min,  1 user,  load average: 5.67, 3.77, 4.00
2025-09-05T13:32:36+01:00  13:32:36 up 19 days, 18 min,  1 user,  load average: 5.21, 3.70, 3.98
2025-09-05T13:32:41+01:00  13:32:41 up 19 days, 18 min,  1 user,  load average: 4.96, 3.68, 3.97
2025-09-05T13:32:46+01:00  13:32:46 up 19 days, 18 min,  1 user,  load average: 4.80, 3.66, 3.96
2025-09-05T13:32:51+01:00  13:32:51 up 19 days, 18 min,  1 user,  load average: 4.65, 3.65, 3.96
2025-09-05T13:32:56+01:00  13:32:56 up 19 days, 18 min,  1 user,  load average: 5.00, 3.74, 3.98
2025-09-05T13:33:01+01:00  13:33:01 up 19 days, 18 min,  1 user,  load average: 4.76, 3.71, 3.97
2025-09-05T13:33:06+01:00  13:33:06 up 19 days, 18 min,  1 user,  load average: 4.62, 3.70, 3.97
2025-09-05T13:33:11+01:00  13:33:11 up 19 days, 18 min,  1 user,  load average: 5.21, 3.84, 4.01
2025-09-05T13:33:16+01:00  13:33:16 up 19 days, 18 min,  1 user,  load average: 5.68, 3.96, 4.05
2025-09-05T13:33:21+01:00  13:33:21 up 19 days, 18 min,  1 user,  load average: 5.38, 3.93, 4.04
2025-09-05T13:33:26+01:00  13:33:26 up 19 days, 19 min,  1 user,  load average: 5.43, 3.96, 4.05
2025-09-05T13:33:31+01:00  13:33:31 up 19 days, 19 min,  1 user,  load average: 5.16, 3.93, 4.04
2025-09-05T13:33:36+01:00  13:33:36 up 19 days, 19 min,  1 user,  load average: 4.82, 3.88, 4.02
2025-09-05T13:33:41+01:00  13:33:41 up 19 days, 19 min,  1 user,  load average: 5.32, 4.00, 4.06
2025-09-05T13:33:46+01:00  13:33:46 up 19 days, 19 min,  1 user,  load average: 5.21, 4.00, 4.06
2025-09-05T13:33:51+01:00  13:33:51 up 19 days, 19 min,  1 user,  load average: 4.79, 3.93, 4.04
2025-09-05T13:33:56+01:00  13:33:56 up 19 days, 19 min,  1 user,  load average: 4.49, 3.88, 4.02
2025-09-05T13:34:01+01:00  13:34:01 up 19 days, 19 min,  1 user,  load average: 4.13, 3.82, 4.00
2025-09-05T13:34:06+01:00  13:34:06 up 19 days, 19 min,  1 user,  load average: 3.96, 3.79, 3.99
