timestamp,pod_count,ready_pods,cpu_usage_millicores,memory_usage_mib,pod_details
2025-09-07T10:15:44.638966,7,7,574,194,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T10:15:47.115634,7,7,574,194,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T10:15:49.502348,7,7,574,194,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T10:15:51.902069,7,7,574,194,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T10:15:54.268263,7,7,574,194,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T10:15:56.734183,7,7,574,194,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T10:15:59.100024,7,7,564,193,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T10:16:01.481804,7,7,564,193,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T10:16:03.880149,7,7,564,193,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
2025-09-07T10:16:06.306041,7,7,564,193,"fibonacci-go-c4-00002-deployment-7f5d555d89-4h9hq:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-c67tl:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-czkzn:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-ps5jw:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-qbcz6:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-wkfw5:Ready|fibonacci-go-c4-00002-deployment-7f5d555d89-xhj8g:Ready"
