run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,19.95,4711.0,,4711,4711,98094.0,,98094,98094,22391.02172096909,,22391.02172096909,22391.02172096909,21895.0,,21895.0,21895.0,36270.6,,36270.6,36270.6,49722.43999999999,,49722.43999999999,49722.43999999999,8801.19658604603,,8801.19658604603,8801.19658604603,19.95,,19.95,19.95,1197.0,,1197,1197
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,208.83333333333331,4664.0,,4664,4664,224163.0,,224163,224163,52058.94405426976,,52058.94405426976,52058.94405426976,45213.5,,45213.5,45213.5,116069.94999999995,,116069.94999999995,116069.94999999995,154428.55,,154428.55,154428.55,33122.76220391442,,33122.76220391442,33122.76220391442,208.83333333333331,,208.83333333333331,208.83333333333331,12530.0,,12530,12530
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,243.4,5508.0,,5508,5508,448923.0,,448923,448923,84628.38181320186,,84628.38181320186,84628.38181320186,74615.0,,74615.0,74615.0,182473.8,,182473.8,182473.8,247074.3499999999,,247074.3499999999,247074.3499999999,50755.20660203054,,50755.20660203054,50755.20660203054,243.4,,243.4,243.4,14604.0,,14604,14604
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,244.81666666666663,5339.0,,5339,5339,342607.0,,342607,342607,82623.22281979713,,82623.22281979713,82623.22281979713,73632.0,,73632.0,73632.0,172953.39999999997,,172953.39999999997,172953.39999999997,237044.8399999997,,237044.8399999997,237044.8399999997,46660.935476656006,,46660.935476656006,46660.935476656006,244.81666666666663,,244.81666666666663,244.81666666666663,14689.0,,14689,14689
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,245.28333333333333,4925.0,,4925,4925,352454.0,,352454,352454,74035.63015560237,,74035.63015560237,74035.63015560237,64233.0,,64233.0,64233.0,165663.19999999998,,165663.19999999998,165663.19999999998,227951.52,,227951.52,227951.52,46664.980637023415,,46664.980637023415,46664.980637023415,245.28333333333333,,245.28333333333333,245.28333333333333,14717.0,,14717,14717
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,245.91666666666663,5374.0,,5374,5374,332849.0,,332849,332849,71251.57302609285,,71251.57302609285,71251.57302609285,62949.0,,62949.0,62949.0,150545.29999999996,,150545.29999999996,150545.29999999996,210609.9399999999,,210609.9399999999,210609.9399999999,42345.77425006758,,42345.77425006758,42345.77425006758,245.91666666666663,,245.91666666666663,245.91666666666663,14755.0,,14755,14755
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,246.5,5604.0,,5604,5604,691666.0,,691666,691666,77918.74448951994,,77918.74448951994,77918.74448951994,65916.5,,65916.5,65916.5,177023.74999999994,,177023.74999999994,177023.74999999994,278610.5100000004,,278610.5100000004,278610.5100000004,53827.72380535342,,53827.72380535342,53827.72380535342,246.5,,246.5,246.5,14790.0,,14790,14790
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,249.83333333333331,5805.0,,5805,5805,434124.0,,434124,434124,80111.31574382923,,80111.31574382923,80111.31574382923,68412.5,,68412.5,68412.5,179899.54999999993,,179899.54999999993,179899.54999999993,254422.1700000004,,254422.1700000004,254422.1700000004,50958.08674897291,,50958.08674897291,50958.08674897291,249.83333333333331,,249.83333333333331,249.83333333333331,14990.0,,14990,14990
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,252.03333333333333,4387.0,,4387,4387,600931.0,,600931,600931,70930.0960190451,,70930.0960190451,70930.0960190451,58157.5,,58157.5,58157.5,173727.19999999998,,173727.19999999998,173727.19999999998,260812.4499999997,,260812.4499999997,260812.4499999997,53487.93409213851,,53487.93409213851,53487.93409213851,252.03333333333333,,252.03333333333333,252.03333333333333,15122.0,,15122,15122
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,257.9833333333333,4677.0,,4677,4677,640197.0,,640197,640197,79700.59299696363,,79700.59299696363,79700.59299696363,65697.0,,65697.0,65697.0,191057.6999999999,,191057.6999999999,191057.6999999999,301967.77999999974,,301967.77999999974,301967.77999999974,60123.611235922246,,60123.611235922246,60123.611235922246,257.9833333333333,,257.9833333333333,257.9833333333333,15479.0,,15479,15479
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,262.1666666666667,4754.0,,4754,4754,570044.0,,570044,570044,91671.60610298792,,91671.60610298792,91671.60610298792,69159.0,,69159.0,69159.0,246567.19999999995,,246567.19999999995,246567.19999999995,362898.8199999997,,362898.8199999997,362898.8199999997,75743.0760619945,,75743.0760619945,75743.0760619945,262.1666666666667,,262.1666666666667,262.1666666666667,15730.0,,15730,15730
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,262.8833333333333,3718.0,,3718,3718,1153742.0,,1153742,1153742,81492.3451467698,,81492.3451467698,81492.3451467698,65465.0,,65465.0,65465.0,200130.8,,200130.8,200130.8,330510.2000000008,,330510.2000000008,330510.2000000008,67051.41716022024,,67051.41716022024,67051.41716022024,262.8833333333333,,262.8833333333333,262.8833333333333,15773.0,,15773,15773
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,264.7333333333333,6686.0,,6686,6686,1283708.0,,1283708,1283708,127783.6757114077,,127783.6757114077,127783.6757114077,104667.0,,104667.0,104667.0,305899.54999999964,,305899.54999999964,305899.54999999964,455114.03,,455114.03,455114.03,90523.9215050434,,90523.9215050434,90523.9215050434,264.7333333333333,,264.7333333333333,264.7333333333333,15884.0,,15884,15884
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,265.1666666666667,5282.0,,5282,5282,565744.0,,565744,565744,78045.3002514142,,78045.3002514142,78045.3002514142,62000.0,,62000.0,62000.0,196361.1,,196361.1,196361.1,304212.35,,304212.35,304212.35,61626.28416734892,,61626.28416734892,61626.28416734892,265.1666666666667,,265.1666666666667,265.1666666666667,15910.0,,15910,15910
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,265.46666666666664,5198.0,,5198,5198,544570.0,,544570,544570,99534.85164490204,,99534.85164490204,99534.85164490204,82193.0,,82193.0,82193.0,231692.4,,231692.4,231692.4,327331.66,,327331.66,327331.66,67642.9277698918,,67642.9277698918,67642.9277698918,265.46666666666664,,265.46666666666664,265.46666666666664,15928.0,,15928,15928
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,267.8333333333333,5618.0,,5618,5618,683294.0,,683294,683294,113728.3103298071,,113728.3103298071,113728.3103298071,95375.5,,95375.5,95375.5,262414.69999999984,,262414.69999999984,262414.69999999984,381329.05,,381329.05,381329.05,75335.22197727377,,75335.22197727377,75335.22197727377,267.8333333333333,,267.8333333333333,267.8333333333333,16070.0,,16070,16070
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,267.96666666666664,6288.0,,6288,6288,792550.0,,792550,792550,129179.62265207116,,129179.62265207116,129179.62265207116,114696.0,,114696.0,114696.0,267335.15,,267335.15,267335.15,376922.83,,376922.83,376922.83,75223.15644020509,,75223.15644020509,75223.15644020509,267.96666666666664,,267.96666666666664,267.96666666666664,16078.0,,16078,16078
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,268.1333333333333,6263.0,,6263,6263,854391.0,,854391,854391,130235.12238935853,,130235.12238935853,130235.12238935853,108349.0,,108349.0,108349.0,306538.6,,306538.6,306538.6,456069.0699999994,,456069.0699999994,456069.0699999994,89205.76004193479,,89205.76004193479,89205.76004193479,268.1333333333333,,268.1333333333333,268.1333333333333,16088.0,,16088,16088
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,268.25,7254.0,,7254,7254,1028755.0,,1028755,1028755,131045.0642435539,,131045.0642435539,131045.0642435539,106791.0,,106791.0,106791.0,315022.1999999997,,315022.1999999997,315022.1999999997,470797.0999999999,,470797.0999999999,470797.0999999999,94454.12205495064,,94454.12205495064,94454.12205495064,268.25,,268.25,268.25,16095.0,,16095,16095
B3,B3 | pods=4 | CPU=250m | RAM=250Mi,268.55,7341.0,,7341,7341,999010.0,,999010,999010,119110.35772357724,,119110.35772357724,119110.35772357724,98056.0,,98056.0,98056.0,280022.99999999994,,280022.99999999994,280022.99999999994,430062.1999999993,,430062.1999999993,430062.1999999993,87829.59159258657,,87829.59159258657,87829.59159258657,268.55,,268.55,268.55,16113.0,,16113,16113
