run,run_label,target_rps,min_mean,min_std,min_min,min_max,max_mean,max_std,max_min,max_max,average_mean,average_std,average_min,average_max,median_mean,median_std,median_min,median_max,p95_mean,p95_std,p95_min,p95_max,p99_mean,p99_std,p99_min,p99_max,std_mean,std_std,std_min,std_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,total_requests_mean,total_requests_std,total_requests_min,total_requests_max
B1,B1 | pods=1 | CPU=1000m | RAM=1Gi,20.0,4951.666666666667,138.05916606054558,4807,5082,174512.33333333334,77851.9655007716,85576,230324,9693.095833333333,727.0547172128986,8858.455,10188.771666666667,7842.666666666667,417.92234127087926,7396.5,8225.0,19082.899999999983,2638.2170859313305,16116.249999999984,21165.749999999985,36600.06666666666,4304.475925467973,34037.7,41569.64,8611.962115296661,2847.474013524096,5500.301134450882,11087.728860525522,20.0,0.0,20.0,20.0,1200.0,0.0,1200,1200
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,333.01666666666665,4056.0,,4056,4056,1153172.0,,1153172,1153172,85311.55377608728,,85311.55377608728,85311.55377608728,48566.0,,48566.0,48566.0,304596.0,,304596.0,304596.0,563137.0000000009,,563137.0000000009,563137.0000000009,108935.90962706805,,108935.90962706805,108935.90962706805,333.01666666666665,,333.01666666666665,333.01666666666665,19981.0,,19981,19981
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,333.15,3524.0,,3524,3524,611683.0,,611683,611683,75661.32452849067,,75661.32452849067,75661.32452849067,44149.0,,44149.0,44149.0,269001.0,,269001.0,269001.0,400297.03999999975,,400297.03999999975,400297.03999999975,85314.30218173332,,85314.30218173332,85314.30218173332,333.15,,333.15,333.15,19989.0,,19989,19989
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,333.31666666666666,3549.0,,3549,3549,1002466.0,,1002466,1002466,80822.89949497474,,80822.89949497474,80822.89949497474,45851.0,,45851.0,45851.0,306479.49999999977,,306479.49999999977,306479.49999999977,536020.9000000006,,536020.9000000006,536020.9000000006,105195.57268962168,,105195.57268962168,105195.57268962168,333.31666666666666,,333.31666666666666,333.31666666666666,19999.0,,19999,19999
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,334.2333333333333,3624.0,,3624,3624,713766.0,,713766,713766,64885.25650742994,,64885.25650742994,64885.25650742994,39177.5,,39177.5,39177.5,227177.64999999985,,227177.64999999985,227177.64999999985,359004.97000000044,,359004.97000000044,359004.97000000044,73728.0399214312,,73728.0399214312,73728.0399214312,334.2333333333333,,334.2333333333333,334.2333333333333,20054.0,,20054,20054
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,334.7,3671.0,,3671,3671,1004278.0,,1004278,1004278,71241.595657803,,71241.595657803,71241.595657803,45124.5,,45124.5,45124.5,239073.55,,239073.55,239073.55,390216.2899999988,,390216.2899999988,390216.2899999988,82859.9557971121,,82859.9557971121,82859.9557971121,334.7,,334.7,334.7,20082.0,,20082,20082
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,334.9166666666667,3797.0,,3797,3797,544911.0,,544911,544911,62114.63040557352,,62114.63040557352,62114.63040557352,41906.0,,41906.0,41906.0,196973.8,,196973.8,196973.8,317283.7000000005,,317283.7000000005,317283.7000000005,63217.93912057085,,63217.93912057085,63217.93912057085,334.9166666666667,,334.9166666666667,334.9166666666667,20095.0,,20095,20095
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,335.2333333333333,3369.0,,3369,3369,1002496.0,,1002496,1002496,81545.81187232773,,81545.81187232773,81545.81187232773,45624.5,,45624.5,45624.5,301579.8999999994,,301579.8999999994,301579.8999999994,511059.36999999976,,511059.36999999976,511059.36999999976,101440.28109047626,,101440.28109047626,101440.28109047626,335.2333333333333,,335.2333333333333,335.2333333333333,20114.0,,20114,20114
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,335.78333333333336,3884.0,,3884,3884,790297.0,,790297,790297,69723.583858639,,69723.583858639,69723.583858639,42993.0,,42993.0,42993.0,235798.60000000003,,235798.60000000003,235798.60000000003,374766.4800000013,,374766.4800000013,374766.4800000013,77403.70692006964,,77403.70692006964,77403.70692006964,335.78333333333336,,335.78333333333336,335.78333333333336,20147.0,,20147,20147
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,338.28333333333336,3875.0,,3875,3875,686655.0,,686655,686655,60315.44711041041,,60315.44711041041,60315.44711041041,37520.0,,37520.0,37520.0,204127.60000000003,,204127.60000000003,204127.60000000003,362851.4000000002,,362851.4000000002,362851.4000000002,70500.41279434261,,70500.41279434261,70500.41279434261,338.28333333333336,,338.28333333333336,338.28333333333336,20297.0,,20297,20297
B4,B4 | pods=8 | CPU=125m | RAM=125Mi,338.4833333333333,3658.0,,3658,3658,831159.0,,831159,831159,63984.62745580777,,63984.62745580777,63984.62745580777,42203.0,,42203.0,42203.0,204793.19999999972,,204793.19999999972,204793.19999999972,331246.55999999994,,331246.55999999994,331246.55999999994,66370.89833887729,,66370.89833887729,66370.89833887729,338.4833333333333,,338.4833333333333,338.4833333333333,20309.0,,20309,20309
